model,gpus,batch_size,img_size,fp16,pipeline,zero,shardstrategy,nof,ThroughPut,GPU_Peak_Memory,GPU_Peak_Memory_std,CPU_Peak_Memory,CPU_Peak_Memory_std,BatchTime_mean,BatchTime_std,path,is_valid
vit_b,4,256,32,0,0,0,btss,0.0,10914.5722,2419.1118,16.0679,2385.3945,0.5784,0.0938,0.0039,./logs/vit_b/colossalai_gpu4_256x32x32__/2023-03-20-08:03:19_PM/,True
vit_b,4,256,32,1,0,0,btss,0.0,8461.2301,1574.3892,6.9373,2422.7656,0.196,0.121,0.0053,./logs/vit_b/colossalai_gpu4_256x32x32_fp16__/2023-03-20-08:04:07_PM/,True
vit_b,4,256,32,0,1,0,btss,0.0,9937.3363,387.5,2.589,2682.4102,0.1346,0.103,0.0026,./logs/vit_b/colossalai_gpu4_256x32x32_pipeline__/2023-03-20-08:04:54_PM/,True
vit_b,4,256,32,1,1,0,btss,0.0,9741.2249,304.7202,1.0207,2760.2344,0.3217,0.1051,0.0024,./logs/vit_b/colossalai_gpu4_256x32x32_pipeline_fp16__/2023-03-20-08:05:36_PM/,True
vit_b,4,256,32,0,0,1,btss,0.0,3673.0381,1316.7549,5.0031,2426.0078,0.1945,0.2788,0.0094,./logs/vit_b/colossalai_gpu4_256x32x32_zero_btss_nof0.0__/2023-03-20-08:06:17_PM/,True
vit_b,4,256,32,0,0,1,btss,0.0,3678.4212,1320.5908,10.2155,2430.0781,0.1853,0.2784,0.0085,./logs/vit_b/colossalai_gpu4_256x32x32_zero_btss_nof0.0__/2023-03-20-08:07:21_PM/,True
vit_b,4,512,32,0,0,0,btss,0.0,15535.1048,3090.1396,20.0152,2172.4336,0.1653,0.1318,0.0051,./logs/vit_b/colossalai_gpu4_512x32x32__/2023-03-21-02:32:44_AM/,True
vit_b,4,512,32,1,0,0,btss,0.0,15563.5897,1959.3789,9.3678,2210.1367,0.2073,0.1316,0.0044,./logs/vit_b/colossalai_gpu4_512x32x32_fp16__/2023-03-21-02:33:28_AM/,True
vit_b,4,512,32,0,1,0,btss,0.0,17999.8236,540.2305,2.7341,2501.0703,9.059,0.1138,0.0029,./logs/vit_b/colossalai_gpu4_512x32x32_pipeline__/2023-03-21-02:34:14_AM/,True
vit_b,4,512,32,1,1,0,btss,0.0,18563.9166,379.2686,0.0,2573.1953,2.4718,0.1103,0.0022,./logs/vit_b/colossalai_gpu4_512x32x32_pipeline_fp16__/2023-03-21-02:34:53_AM/,True
vit_b,4,512,32,0,0,1,btss,0.0,7295.9334,2136.3467,12.5271,2230.1367,0.1204,0.2807,0.0085,./logs/vit_b/colossalai_gpu4_512x32x32_zero_btss_nof0.0__/2023-03-21-02:35:38_AM/,True
vit_b,4,1024,32,0,0,0,btss,0.0,18966.8513,4541.1074,25.972,2172.9609,0.1963,0.216,0.0092,./logs/vit_b/colossalai_gpu4_1024x32x32__/2023-03-21-02:36:46_AM/,True
vit_b,4,1024,32,1,0,0,btss,0.0,25826.1139,2733.5166,16.388,2219.9453,0.1983,0.1586,0.0058,./logs/vit_b/colossalai_gpu4_1024x32x32_fp16__/2023-03-21-02:37:40_AM/,True
vit_b,4,1024,32,0,1,0,btss,0.0,27196.9674,861.3379,29.5998,2540.7188,6.2792,0.1506,0.0044,./logs/vit_b/colossalai_gpu4_1024x32x32_pipeline__/2023-03-21-02:38:33_AM/,True
vit_b,4,1024,32,1,1,0,btss,0.0,33218.1322,554.7041,13.4215,2602.3633,5.6092,0.1233,0.0033,./logs/vit_b/colossalai_gpu4_1024x32x32_pipeline_fp16__/2023-03-21-02:39:20_AM/,True
vit_b,4,1024,32,0,0,1,btss,0.0,12973.5339,3810.8052,44.8964,2232.8867,0.0888,0.3157,0.0068,./logs/vit_b/colossalai_gpu4_1024x32x32_zero_btss_nof0.0__/2023-03-21-02:40:02_AM/,True
vit_b,4,8,224,0,0,0,btss,0.0,378.9486,1687.0054,0.4514,2339.2188,0.2717,0.0844,0.0058,./logs/vit_b/colossalai_gpu4_8x224x224__/2023-03-20-11:21:57_PM/,True
vit_b,4,8,224,1,0,0,btss,0.0,267.357,1518.7637,0.4307,2382.5898,0.1941,0.1197,0.0037,./logs/vit_b/colossalai_gpu4_8x224x224_fp16__/2023-03-20-11:22:40_PM/,True
vit_b,4,8,224,0,1,0,btss,0.0,346.2175,254.9102,0.0,2640.4375,0.1299,0.0924,0.0022,./logs/vit_b/colossalai_gpu4_8x224x224_pipeline__/2023-03-20-11:23:30_PM/,True
vit_b,4,8,224,1,1,0,btss,0.0,324.0055,286.6934,0.4168,2722.9648,0.1173,0.0988,0.0026,./logs/vit_b/colossalai_gpu4_8x224x224_pipeline_fp16__/2023-03-20-11:24:09_PM/,True
vit_b,4,8,224,0,0,1,btss,0.0,118.2727,520.9141,0.139,2395.1406,0.2244,0.2706,0.0053,./logs/vit_b/colossalai_gpu4_8x224x224_zero_btss_nof0.0__/2023-03-20-11:24:54_PM/,True
vit_b,4,16,224,0,0,0,btss,0.0,755.2779,1709.0796,0.9066,2346.7461,0.2839,0.0847,0.0037,./logs/vit_b/colossalai_gpu4_16x224x224__/2023-03-20-11:25:56_PM/,True
vit_b,4,16,224,1,0,0,btss,0.0,535.0509,1518.8579,0.4307,2383.1719,0.1995,0.1196,0.0044,./logs/vit_b/colossalai_gpu4_16x224x224_fp16__/2023-03-20-11:26:40_PM/,True
vit_b,4,16,224,0,1,0,btss,0.0,686.503,255.3906,0.0,2645.8477,0.1363,0.0932,0.0023,./logs/vit_b/colossalai_gpu4_16x224x224_pipeline__/2023-03-20-11:27:30_PM/,True
vit_b,4,16,224,1,1,0,btss,0.0,681.2203,287.0273,0.4168,2725.957,0.1134,0.0939,0.0021,./logs/vit_b/colossalai_gpu4_16x224x224_pipeline_fp16__/2023-03-20-11:28:09_PM/,True
vit_b,4,16,224,0,0,1,btss,0.0,232.0942,537.6558,0.1434,2398.0781,0.1673,0.2757,0.0104,./logs/vit_b/colossalai_gpu4_16x224x224_zero_btss_nof0.0__/2023-03-20-11:28:54_PM/,True
vit_b,4,32,224,0,0,0,btss,0.0,1494.4109,1757.9688,2.2925,2345.1562,0.276,0.0857,0.0033,./logs/vit_b/colossalai_gpu4_32x224x224__/2023-03-20-11:29:56_PM/,True
vit_b,4,32,224,1,0,0,btss,0.0,1067.3204,1519.0459,0.4307,2387.5781,0.196,0.1199,0.0045,./logs/vit_b/colossalai_gpu4_32x224x224_fp16__/2023-03-20-11:30:39_PM/,True
vit_b,4,32,224,0,1,0,btss,0.0,1339.1879,262.8809,0.3141,2650.4961,0.1527,0.0956,0.0022,./logs/vit_b/colossalai_gpu4_32x224x224_pipeline__/2023-03-20-11:31:25_PM/,True
vit_b,4,32,224,1,1,0,btss,0.0,1304.0044,287.6953,0.4168,2728.7617,0.1382,0.0982,0.0019,./logs/vit_b/colossalai_gpu4_32x224x224_pipeline_fp16__/2023-03-20-11:32:04_PM/,True
vit_b,4,32,224,0,0,1,btss,0.0,444.7355,568.3955,0.4837,2400.75,0.2048,0.2878,0.0122,./logs/vit_b/colossalai_gpu4_32x224x224_zero_btss_nof0.0__/2023-03-20-11:32:49_PM/,True
vit_b,4,64,224,0,0,0,btss,0.0,2958.1973,1848.1958,4.5746,2353.2891,0.223,0.0865,0.0041,./logs/vit_b/colossalai_gpu4_64x224x224__/2023-03-20-11:33:56_PM/,True
vit_b,4,64,224,1,0,0,btss,0.0,2043.3124,1518.6406,0.0,2396.8047,0.1662,0.1253,0.0069,./logs/vit_b/colossalai_gpu4_64x224x224_fp16__/2023-03-20-11:34:39_PM/,True
vit_b,4,64,224,0,1,0,btss,0.0,2655.6246,280.3164,0.6289,2650.5391,0.1511,0.0964,0.0026,./logs/vit_b/colossalai_gpu4_64x224x224_pipeline__/2023-03-20-11:35:29_PM/,True
vit_b,4,64,224,1,1,0,btss,0.0,2596.5981,289.0312,0.4168,2731.7969,0.0986,0.0986,0.0022,./logs/vit_b/colossalai_gpu4_64x224x224_pipeline_fp16__/2023-03-20-11:36:08_PM/,True
